Formation,Alias
CODELL / CARLILE,CODELL
CODELL,CODELL
FORT HAYS,CODELL
FORT HAYS / CODELL,CODELL
FORT HAYS / CODELL / CARLILE,CODELL
CODELL / FORT HAYS,CODELL
NIOBRARA / FORT HAYS / CODELL,NIOBRARA
NIOBRARA / CODELL,NIOBRARA
NIOBRARA / CODELL / CARLILE,NIOBRARA
NIOBRARA / FORT HAYES / CODELL / CARLILE,NIOBRARA
NIOBRARA,NIOBRARA
NIOBRARA / CODELL / SUSSEX,NIOBRARA
NIOBRARA / FORT HAYS,NIOBRARA
MERAMEC,MISSISSIPPIAN
MISSISSIPPIAN,MISSISSIPPIAN
MISSISSIPPIAN / CHESTER,MISSISSIPPIAN
MISSISSIPPIAN / MISSISSIPPIAN CHAT,MISSISSIPPIAN
MISSISSIPPIAN CHERT / MISSISSIPPIAN LIME,MISSISSIPPIAN
OSAGE,MISSISSIPPIAN
SYCAMORE,MISSISSIPPIAN
MISSISSIPPI SOLID,MISSISSIPPIAN
MISSISSIPPIAN / CHEROKEE,MISSISSIPPIAN
MISSISSIPPIAN / MISSISSIPPIAN LIME,MISSISSIPPIAN
MISSISSIPPIAN CHAT / MISSISSIPPIAN LIME,MISSISSIPPIAN
OSAGE / CHESTER,MISSISSIPPIAN
MERAMEC / CHESTER,MISSISSIPPIAN
MERAMEC / OSWEGO,MISSISSIPPIAN
MISSISSIPPIAN CHAT / BIG LIME,MISSISSIPPIAN
MISSISSIPPIAN LIME / CHEROKEE,MISSISSIPPIAN
MISSISSIPPIAN LIME / MISSISSIPPIAN CHAT,MISSISSIPPIAN
MISSISSIPPIAN LM,MISSISSIPPIAN
MISSISSIPPIAN SOLID,MISSISSIPPIAN
MISSISSIPPIAN SOLID / CHAT/MUSSELEM,MISSISSIPPIAN
OSAGE / MISSISSIPPIAN,MISSISSIPPIAN
MERAMEC / OSAGE,MISSISSIPPIAN
MISSISSIPPI CHAT,MISSISSIPPIAN
MISSISSIPPIAN / KINDERHOOK,MISSISSIPPIAN
MISSISSIPPIAN C,MISSISSIPPIAN
MISSISSIPPIAN LIME,MISSISSIPPIAN
MISSISSIPPIAN LIME / CHAT,MISSISSIPPIAN
MISSISSIPPIAN LIME / RED FORK,MISSISSIPPIAN
MISSISSIPPIAN LOWER,MISSISSIPPIAN
MISSISSIPPIAN SAND,MISSISSIPPIAN
WOODFORD / MISSISSIPPIAN,WOODFORD
WOODFORD,WOODFORD
WOODFORD / MISSISSIPPIAN LIME,WOODFORD
WOODFORD / HUNTON,WOODFORD
WOODFORD / SYCAMORE,WOODFORD
SPRINGER/SH/,SPRINGER
SPRINGER,SPRINGER
BAKKEN,BAKKEN
SANISH,BAKKEN
OSWEGO,OSWEGO
THREE FORKS / BAKKEN,THREE FORKS
THREE FORKS,THREE FORKS
